identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-A-2024-4271,2024-03-04,0e320dcbb706ee7364c34e7804d4b8f56e2cf7543395690b2614cb4dd06871fc,2024,A,MODEL_REQUIRED,main-14,49,a787c80b606e9d0bfc88ef5a447f3e2b9a4b06e99f8c7737d81a69655571b3e9
BOE-A-2025-26968,2025-12-29,eb55a318b515a6d68fcca43260b89f7af9f95b36b1d51ab0f513811426a147e8,2025,A,MODEL_REQUIRED,main-14,50,a798775460274f76aaa6234d404133caba96f288eca420a3f8c2d6bf1175ef17
BOE-B-2024-21493,2024-06-10,2e25db551b5dc92aa8f34cdf9d4ce4386072341a07173d968862ffc0a1f8a611,2024,B,MODEL_REQUIRED,main-14,51,a7a2c66c9ab3b91c4701688e70587b380fda40780670061d5706e2764bf95261
BOE-B-2024-42058,2024-11-18,6621d22289e8ff9066c50b9a5e0255ea81cad6f334c23253a7c375577f7d3f67,2024,B,MODEL_REQUIRED,main-14,52,a7bd3cc06c31d98f5dd415bb7043ec8e66ccfc650e411326626e3a8f1155b614
BOE-B-2026-14564,2026-05-08,6445119d1e72ebf0539e8360d22c0131cfb74baaade474ceb4119d2f7846f00f,2026,B,MODEL_REQUIRED,main-14,53,a7d87554157001ed4257373a120d649ac687c6db5236b1560a517a7c235f4d5a
BOE-B-2025-4982,2025-02-13,74ad902442a6df502a12d6b64a2250d5a8ea75b7a0307a3a9e3a8e0dd4878704,2025,B,MODEL_REQUIRED,main-14,54,a7eeb79f34d4018aebfffa36edb29b108146f2d91d87a6484980385fdb50526d
BOE-B-2024-15784,2024-04-30,f02f919534374d0e1fdd23a9d9b8fd5c7a29dcfaa014e07c2cbe9e7a0c3516c3,2024,B,MODEL_REQUIRED,main-14,55,a7f26d21991c23b2809ccc3494453de06b1498aefaf6216abba9e0376869df8d
BOE-B-2025-4983,2025-02-13,0f619cf230be469856068a6127eb249939c2f3aed94548efc1cc1dc50dedf436,2025,B,MODEL_REQUIRED,main-14,56,a7fdb5ce23dee59470ac0c1856662d129b673cf10a54c378383ade741a850a85
BOE-B-2025-17351,2025-05-13,098165add5778bedc912606dbb71997c7a5b53dd87f89431baf696b9b12ea6e1,2025,B,MODEL_REQUIRED,main-14,57,a807d850ad9a9875bdf9c4036bdd088a82012d2d867e93af2b4bebc6da24f94c
BOE-B-2024-26737,2024-07-17,a997de65fd39d0a40a26851b00a24837f0cd891561f576ab58ad093c719128af,2024,B,MODEL_REQUIRED,main-14,58,a80a795adc3f7bb31590ba1ce106ca05e5128257f0a90707e2412e2d27efaabd
BOE-A-2024-1290,2024-01-23,cf293188673f7a38a0115b8b6087a446dfda91845c378de81e7c9677862c57a6,2024,A,MODEL_REQUIRED,main-14,59,a82d61599b36ade2c8de64d7188954a93b7a02dde83ac5b9ee1032220cd33549
BOE-A-2025-1554,2025-01-28,b4484c4551224006fafa60629ca7b1372b5260fe69ec60721987c490fad36a7b,2025,A,MODEL_REQUIRED,main-14,60,a8330ee21c9f7408d52a52c63b9213fe881e6f66b5d974ca377d47da77f2ac65
BOE-A-2026-11182,2026-05-25,ea9b595b8a036913c3395c92016e3a9f99409ce7b713e6b84974433bcb257259,2026,A,MODEL_REQUIRED,main-14,61,a8342b894b939d71f64f36ec55570eb50ab6b9602456d6ba40d4edf885d934ea
